天門冬,천문동
山慈姑,산자고
鳳尾草,봉미초
土瓜根,토과근
桃核仁,도핵인
松栢葉,송백엽
馬剝兒,마박아
蓮子心,연자심
茹蘆,여로
大力子,대力자
黃連,황련
連鬚,련수
白蜂蜜,백봉밀
苦木,고목
苦木瘡,고목창
酸石榴皮,산석류피
石灰,석회
風化石灰,풍화석회
五穀蟲,오곡충
扁豆,편두
銀柴胡,은시호
人言,인언
乾蝦䗫,건하마
油頭髮灰,유두발회
油髮灰,유발회
秋石,추석
白粥,백죽
鹿頭,鹿두
鍼砂,침사
麋茸,미용
猪膽,저담
鹽花,염화
川續斷,천속단
蛇皮,사피
絲瓜藤,사과등
白砒,백비
凌霄花,능소화
蚶殼,감각
桃根,도근
蒼耳草,창이초
兎糞,토분
蠶退紙,잠퇴지
竹瀝,죽력
牛涎,우연
商陸,상륙
黃狗頭骨,황구두골
芙蓉葉,부용엽
續隨子,속수자
鬼臼,귀구
經霜桑葉,경상상엽
麵,면
仙遺粮,선유량
團魚,단어
猯肉,단육
驢肉,려육
天仙子,천선자
蒼耳葉,창이엽
蜘蛛,지주
雄黑豆,웅흑두
黃楊木,황양목
棗子,조자
膠飴,교이
川椒子,천초자
小薊,소계
頑荊葉,완형엽
牽牛,견우
紅藍花,홍남화
鬼箭,귀전
羊肉,양육
爐灰,노회
大懷熟地黃,대회숙지황
黃蘗皮,황벽피
瓜子金,과자금
魚膠,어교
槺棠花,강당화
橘餠,귤병
綿黃芪,면황기
蛇黃,사황
大薊根,대계근
鉛粉,연분
川練,천련
槐條,괴조
大豆蘖,대두얼
大豆,대두
杵頭糠,저두강
牛囀草,우전초
巴霜,파상
仙茅,선모
天冬,천동
遠志肉,원지육
乾宣木瓜,건선목과
大山黧豆,대산려두
黃藥子,황약자
新羅白附子,신羅백부자
細香墨,세향묵
芒消,망소
蠶繭,잠견
兩頭尖,양두첨
豆蔻,두구
越砥石,월지석
細墨,세묵
栗楔,율설
金銀箔,금은박
烏雄鷄,오웅계
石床,석상
無名異,무명이
猪懸蹄甲,저현제갑
皂莢刺,조협자
陳倉米,진창미
烏蛇肉,오사육
大靑葉,대청엽
大靑,대청
香豉,향시
石龍,석용
赤箭,적전
食茱萸,식수유
大風子油,대풍자유
瓜子,과자
蝱蟲,맹충
蟅蟲,자충
虻蟲,맹충
童便,동변
靑蒿,청호
水楡,수유
白牽牛,백견우
蔥涎,총연
蜂蜜,봉밀
桃奴,도노
玳瑁,대모
牡鼠糞,모서분
鷄子淸,계자청
菝葜,발계
黃牛肉,황우육
白石灰,백석회
獨頭蒜,독두산
絲瓜,사과
甛瓜蒂,첨과체
柑子皮,감자피
潮腦,조뇌
竈心土,조심토
骨膽草根,골담초근
豚卵,돈란
白麵,백면
乾山藥,건산약
井泉石,정천석
仙靈脾,선영비
桐油,동유
茄蒂,가체
雀腦,작뇌
大肉豆寇,대육두구
無灰酒,무회주
獖猪肚,분저두
黃酒,황주
猪脊髓,저척수
沒食子,몰식자
猪心,저심
地龍糞,지용분
猪屎,저시
好井水,호정수
燈花,등화
蜆殼,현각
驢生脂,려생지
連鬚蔥白,연수총백
劉寄奴,유기노
蓮房,연방
巴豆殼,파두각
芭蕉,파초
芭蕉葉,파초엽
芭蕉汁,파초즙
鯉魚,리어
杉木節,삼목절
石南葉,석남엽
栗子,율자
木鱉,목별
曾靑,증청
水晶,수정
香油,향유
白檳榔,백빈랑
野芝麻,야지마
蓬茂,봉무
銀硃,은주
皺面草,추면초
豨薟草,희렴초
麻黃根,마황근
麥蘖麴,맥얼국
生梓白皮,생재백피
木鼈子仁,목별자인
白麻,백마
荔枝,려지
鰻鱺魚,만려어
白果芽,백과아
白葛根,백갈근
菊花蕊,국화예
豌豆花,완두화
綠豆花,綠두화
番木鱉,번목별
百沸湯,백비탕
蕃椒,번초
大山豆根,대산두근
白藥子,백약자
蚤休,조휴
車前葉,차전엽
蔓菁子,만청자
萱草根,훤초근
鳳凰衣,봉황의
好茶,호茶
氷糖,빙당
桑根白皮,상근백피
土鱉蟲,토별충
鐘乳石,종유석
韶粉,소분
官粉,관분
乾臙脂,건연지
石脂,석지
猪膏,저고
雲母石,운모석
金星石,금성석
桃膠,도교
石首魚頭中石,석수어두중석
紫貝,자패
浮小麥,부소맥
商陸根,상륙근
澤漆,택칠
茅花,모화
乾木瓜,건목과
冬瓜子,동과자
木防己,목방기
黃蜀葵花,황촉규화
水紅花子,수홍화자
翻白草,번백초
大麻仁,대마인
石三棱,석삼릉
紅麯,홍국
巴豆仁,파두인
肉豆寇仁,육두구인
大茄,대가
千金子,천금자
信石,신석
石硫黃,석유황
猫頭骨,묘두골
蝙蝠,편복
茄花,가화
晩蠶沙,만잠사
鯉魚鱗,리어린
人屎,인시
犬屎,견시
人牙,인아
狗齒,구치
猪牙,저아
猫齒,묘치
天胡荽,천호유
白葵花,백규화
敗鼓皮,패고피
大斧,대부
竈中熱灰,조중열회
螢火,형화
雌黃,자황
白麴,백국
黃狗,황구
黃牛膽,황우담
胡桃,호도
墨,묵
麋角,미각
穭豆,려두
菥蓂子,석명자
猪骨髓,저골수
乾酵,건효
泉水,천수
薄荷油,박하유
風化消,풍화소
蝮蛇,복사
靑礬,청반
粟米,속미
黍米,서미
槐膠,괴교
烏犀,오서
烏鴉,오아
狐肝,호간
石燕子,석연자
黑脂麻,흑지마
珊瑚,산호
瑪瑙,마노
枾餠,시병
地柏,지백
牙消,아소
燒石,소석
乾蠍,건헐
黃桑葉,황상엽
水粉,수분
穀,곡
新汲水,신급수
胡麻油,호마유
杏仁油,행인유
黃牛糞,황우분
釜下墨,부하묵
亂髮灰,난발회
紫葳花,자위화
拳蔘,권삼
秦椒,진초
白花蛇肉,백화사육
牙皂角,아조각
白堊,백악
蚯蚓糞,구인분
鷄血藤,계혈등
白降丹,백강단
粟殼,속각
藕節,우절
冬葵根,동규근
人尿,인뇨
白蒿,백호
鷄卵,계란
芥菜子,개채자
鷄子白,계자백
石蜜,석밀
白布,백포
番瀉葉,번사엽
史君子仁,사군자인
蠶退,잠퇴
路傍草鞋,노방초혜
釜下黑煤,부하흑매
虎頭骨,호두골
赤茯神,적복신
韭葉芸香草,구엽운향초
焰消,염소
靑黛粉,청대분
鵝不食草,아不식초
烏扇,오선
紫葳,자위
蜜蜂窩,밀봉와
鼠婦,서부
家菊,가국
蒼耳,창이
天漿子,천장자
白鱔頭,백선두
蟾頭,섬두
靑橘皮,청귤피
黃牛,황우
茅蒼朮,모창출
馬鳴退,마명퇴
寶豆,보두
牛髓,우수
藍根,남근
蓮心,연심
黃絲絹,황사견
秫米,출미
山椒,산초
靈芝,영지
猪大腸,저대장
白檀,백단
風化朴硝,풍화박초
鱉頭,별두
馬乳,마유
梅花,매화
黑錫,흑석
硫黃,유황
白羯羊肝,백갈양간
土蜂房,토봉방
胡桃仁,호도인
蔥根,총근
黑狗脊,흑구척
芙蓉,부용
三奈,삼奈
八角香,팔각향
茅香,모향
菉豆,녹두
浮椒,부초
甘李根皮,감리근피
龜肉,귀육
製半夏,제반하
梅花腦子,매화뇌자
甲香,갑향
鐵液,철액
桑椹子,상심자
菜子七,채자칠
蜀葵子,촉규자
大烏頭,대오두
蛇含石,사함석
鐵胤粉,철윤분
牛骨髓,우골수
楓香脂,풍향지
絲瓜葉,사과엽
軟滑石,연활석
荸薺,발제
白羊子肝,백양자간
葫蘆,호로
香茹,향여
絲瓜根,사과근
苦絲瓜,고사과
松節,송절
茄根,가근
宣木瓜,선목과
一方加防風,일방가방풍
白蠶,백잠
人蔘蘆,인삼노
大檳榔,대빈랑
商陸乾,상륙건
赤蘞,적렴
羊角,양각
片,편
大香附,대향부
肉果,육과
雪梨,설리
人齒,인치
猪齒,저치
苦葶藶子,고정력자
蘇合油,소합유
蘇合香油,소합향유
八角川烏頭,팔각천오두
不灰木,불회목
紫花地丁,자화지정
糖球子,당구자
淸蜜,청밀
山芋,산우
黑桑椹,흑상심
甘草根,감초근
水銀滓,수은재
猪腰子,저요자
五倍木根,오배목근
蒼耳草根,창이초근
菴䕡,암려
磠砂,뇨사
栗毛殼,율모각
猪頸上毛,저경상모
猫頸上毛,묘경상모
鼠屎,서시
草豆蔲仁,초두구인
乾枾,건시
牙子,아자
海松子仁,해송자인
松子仁,송자인
白硼砂,백붕사
靑梁米,청양미
荔花葉,려화엽
桑耳,상이
柳桂,柳계
生梨,생리
壁錢,벽전
韭,구
臙脂,연지
蓮實,연실
生藕,생우
釣藤,조등
